FUND CODE,foreign_cash,foreign_global_equity,foreign_interest_rate_instruments,foreign_other_equity,local_cash,local_interest_rate_instruments,local_listed_equity,local_listed_property,local_other_equity,local_physical_property
KU31,0.064765364,0.347483682,0.056652989,0.017167267,-0.023099635,0.056763927,0.437653195,0.009296648,0.008779435,0.024537129
KU33,0.039833045,0.195710952,0.143261815,0.016898913,0.086568528,0.335182037,0.152395226,0.002675524,0.003596591,0.02387737
KU35,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
KU36,0.064765364,0.347483682,0.056652989,0.017167267,-0.023099635,0.056763927,0.437653195,0.009296648,0.008779435,0.024537129
KU45,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
KU46,0.039833045,0.195710952,0.143261815,0.016898913,0.086568528,0.335182037,0.152395226,0.002675524,0.003596591,0.02387737
KU47,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
KU48,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
KU49,0.064765364,0.347483682,0.056652989,0.017167267,-0.023099635,0.056763927,0.437653195,0.009296648,0.008779435,0.024537129
KU50,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
KU51,0.039833045,0.195710952,0.143261815,0.016898913,0.086568528,0.335182037,0.152395226,0.002675524,0.003596591,0.02387737
KU52,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
KU53,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
KU54,0.064765364,0.347483682,0.056652989,0.017167267,-0.023099635,0.056763927,0.437653195,0.009296648,0.008779435,0.024537129
KU56,0.039833045,0.195710952,0.143261815,0.016898913,0.086568528,0.335182037,0.152395226,0.002675524,0.003596591,0.02387737
KU68,0.036399999,0,0.061999998,0.00010004,-0.098799996,0.971299961,0,0.028999999,0,0
KU71,0.078699989,0,0.067299978,0.211500004,0.064500003,0.442900019,0.135100006,0,0,0
KU74,0.0138,0,0,0.314,0.0006,0,0.6512,0.0204,0,0
KU79,0.042,0,0.0005,0.385599992,0.101000001,0.154600002,0.316300004,0,0,0
KY01,0.0001,0,0,0,0.0283,0.201,0.7339,0.0367,0,0
KY04,0.0619,0,0,0.8949,0.0324,0.0038,0.007,0,0,0
KY05,0.0001,0.9971,0,0,0.0028,0,0,0,0,0
KY06,0.0001,0.9926,0,0,0.0073,0,0,0,0,0
KY07,0.0065,0,0,0.9922,0.0013,0,0,0,0,0
KY08,-0.0016,0,0,0.9648,0.0368,0,0,0,0,0
KY10,0.0007,0,0.0385,0,0.4318,0.529,0,0,0,0
KY11,0,0,0.1139,0,0.2826,0.5783,0.0015,0.0237,0,0
KY12,0.0192,0,0.1577,0.1724,0.0933,0.3894,0.1639,0.0041,0,0
KY13,0.0232,0,0.1137,0.217,0.0879,0.3639,0.1485,0.0171,0.0287,0
KY14,0.0776,0,0.0516,0.1953,0.1219,0.3452,0.2084,0,0,0
KY16,0.0049,0,0,0.3826,-0.0011,0,0.5878,0.0258,0,0
KY18,0,0,0,0.9686,0.0314,0,0,0,0,0
KY19,0.0277,0.7435,0.2229,0,0.0056,0,0,0.0003,0,0
KY20,0,0,0,0,0.0038,0,0,0.9962,0,0
KY49,-0.010300026,0,0.131299991,0.11640009,0.010399999,0.448799968,0.257899982,0.045499997,0,0
KY53,0.023700034,0,0.315299983,0.654699984,0.0063,0,0,0,0,0
KY56,0,0.9804,0,0,0.0196,0,0,0,0,0
KY62,0.0001,0.9926,0,0,0.0073,0,0,0,0,0
KY63,0.0001,0.9971,0,0,0.0028,0,0,0,0,0
KY64,0.0066,0,0,0.372,0.0807,0.1776,0.3449,0.0137,0.0045,0
KY66,0.0256,0,0,0.2943,0.0315,0.0151,0.633,0.0005,0,0
KY68,0,0,0.1139,0,0.2826,0.5783,0.0015,0.0237,0,0
KY69,-0.005300027,0,0.072200001,0.254600012,0.0181,0.219300004,0.410800008,0.030300001,0,0
KY72,0.032,0,0.046,0.183,0.03,0.305,0.366,0.038,0,0
KY73,0.0138,0,0,0.314,0.0006,0,0.6512,0.0204,0,0
KY74,0.0065,0,0,0.9922,0.0013,0,0,0,0,0
KY75,0.023700034,0,0.315299983,0.654699984,0.0063,0,0,0,0,0
KY77,0.042,0,0.0005,0.385599992,0.101000001,0.154600002,0.316300004,0,0,0
