Asset_Class,horizon_years,expected_return_pct,lower_return_pct,upper_return_pct
foreign_interest_rate_instruments,53,0.015946375440118787,-0.002330676640877938,0.02949226922824555
foreign_interest_rate_instruments,54,0.01597608204626977,-0.0020389171678907303,0.0292460330738864
foreign_interest_rate_instruments,55,0.015967062518322583,-0.002034102886964262,0.029103981456416905
foreign_interest_rate_instruments,56,0.015960839604570953,-0.0019178757764998222,0.02896897815157784
foreign_interest_rate_instruments,57,0.01596628153287294,-0.0018348616265156936,0.028915601656203327
foreign_interest_rate_instruments,58,0.015951959819364703,-0.0016749658752825969,0.028743090013912953
foreign_interest_rate_instruments,59,0.01593557876994134,-0.0014872972276618324,0.028624329833298878
foreign_interest_rate_instruments,60,0.01593187999171919,-0.0013952656457275614,0.02840465742524856
foreign_interest_rate_instruments,61,0.01596215134032075,-0.0012819417281890733,0.028274513845767624
foreign_interest_rate_instruments,62,0.015964475280477064,-0.0011844009680421763,0.028193237853791242
foreign_interest_rate_instruments,63,0.015965066547655393,-0.0010004768176122836,0.028093257535870997
foreign_interest_rate_instruments,64,0.015965845028253156,-0.0009531857876834415,0.027924781718229097
foreign_interest_rate_instruments,65,0.015970145953926318,-0.0007034709008648665,0.027779148294230005
foreign_interest_rate_instruments,66,0.015964225019989398,-0.0005540620847745981,0.027628677641941657
foreign_interest_rate_instruments,67,0.015949425189932365,-0.0005904805255083634,0.027521613966361658
foreign_interest_rate_instruments,68,0.015955421465795983,-0.0005492595668306066,0.02737033245377396
foreign_interest_rate_instruments,69,0.015955384721078048,-0.0003240848593668577,0.027242250184992933
foreign_interest_rate_instruments,70,0.01597843568338253,-0.00015207485495849493,0.027225820518853805
foreign_interest_rate_instruments,71,0.01597702088248698,-1.1281268418761314e-05,0.027158444028404283
foreign_interest_rate_instruments,72,0.01597557638166225,6.127587779269916e-05,0.027059644905844005
foreign_interest_rate_instruments,73,0.01598760395986032,0.00014266354578107432,0.027001125302261952
foreign_interest_rate_instruments,74,0.01598958976815701,0.00029499543146549456,0.027055072669885716
foreign_interest_rate_instruments,75,0.016004229976286588,0.00042305484358062806,0.0268936658037513
foreign_interest_rate_instruments,76,0.016006888796573193,0.0004506673871658151,0.026855144000659914
foreign_interest_rate_instruments,77,0.01600637865366039,0.0006081200669312281,0.02667712176367032
foreign_interest_rate_instruments,78,0.016010653859702906,0.0005558684303670347,0.02663727308541275
foreign_interest_rate_instruments,79,0.015994144639538854,0.0005769662854382407,0.026629084308542827
foreign_interest_rate_instruments,80,0.01599992870859368,0.0007841842612898997,0.026462961016431752
foreign_interest_rate_instruments,81,0.015996773919945584,0.000885434667624585,0.026465720066666254
foreign_interest_rate_instruments,82,0.015992541071754518,0.0010306720164752203,0.026306474416455394
foreign_interest_rate_instruments,83,0.01599238166364314,0.0011202390418287855,0.026231494916524767
foreign_interest_rate_instruments,84,0.0160028647484578,0.00113429435322554,0.026339596216780725
foreign_interest_rate_instruments,85,0.01600708732781908,0.0011495499788558572,0.02620818143508097
foreign_interest_rate_instruments,86,0.016016157275151377,0.0013988230328287887,0.026190812499362393
foreign_interest_rate_instruments,87,0.016012464543449845,0.0013978969295287413,0.02612183743008112
foreign_interest_rate_instruments,88,0.01601320371541526,0.0014708812309922603,0.02603452324440525
foreign_interest_rate_instruments,89,0.016020863382899098,0.0015955648807788325,0.02611052023182614
foreign_interest_rate_instruments,90,0.01600912262749743,0.0015128380228071059,0.025941129858414236
foreign_interest_rate_instruments,91,0.01600243485713637,0.001633259374875795,0.025883539055338467
foreign_interest_rate_instruments,92,0.015993915903147915,0.0017363651541431047,0.025870822027197482
foreign_interest_rate_instruments,93,0.015998631750663295,0.001771940134071004,0.02570248672536657
foreign_interest_rate_instruments,94,0.015994291365243773,0.0017751160359686935,0.025614591954419508
foreign_interest_rate_instruments,95,0.016000832444188928,0.0018423945563856847,0.02557376819359236
foreign_interest_rate_instruments,96,0.016004403462068995,0.0018112988554033205,0.025465398141134576
foreign_interest_rate_instruments,97,0.01600005657239456,0.0018351313269246994,0.025403048627982372
foreign_interest_rate_instruments,98,0.016006625540407438,0.0018657988835184547,0.025251446279656253
foreign_interest_rate_instruments,99,0.016013533245446743,0.0020990807374769993,0.025175489557301756
foreign_interest_rate_instruments,100,0.01601459438672448,0.002095695762255323,0.025110853588726334
foreign_other_equity,1,0.07516267311635594,-0.21622501323459842,0.3713061578753758
foreign_other_equity,2,0.07437918376084385,-0.14731395126406144,0.2786993166469629
foreign_other_equity,3,0.07576571026555068,-0.10974192188655174,0.2381499031837624
foreign_other_equity,4,0.07605499020179396,-0.08699068012359867,0.21482347334620133
foreign_other_equity,5,0.07602194642997495,-0.07015822233796998,0.1975571279570909
foreign_other_equity,6,0.07625314345501866,-0.05890871687434829,0.18519924179824132
foreign_other_equity,7,0.07612968915931462,-0.05156041407081757,0.17531244844932914
foreign_other_equity,8,0.07635696632462552,-0.043956016273640985,0.1692320000196328
foreign_other_equity,9,0.07621724490688009,-0.038578355928404306,0.16331057957282002
foreign_other_equity,10,0.0760704253580482,-0.03414139381719106,0.15717973828624743
foreign_other_equity,11,0.07630094306212687,-0.02963950224456846,0.15266480704158303
foreign_other_equity,12,0.07600773473570888,-0.026757530289219567,0.1480542136063312
foreign_other_equity,13,0.07610007423775977,-0.02177076697337965,0.1449493147584462
foreign_other_equity,14,0.07608387639642333,-0.019680125553108385,0.14143762515831781
foreign_other_equity,15,0.07600819760342681,-0.016714369957777087,0.13977402843671705
foreign_other_equity,16,0.0755733056907606,-0.013802833468372189,0.1364153486627333
foreign_other_equity,17,0.07573615262296118,-0.011283329239575868,0.13401072813744097
foreign_other_equity,18,0.07595384679641137,-0.009659693375815404,0.13198465349919952
foreign_other_equity,19,0.07609451347979768,-0.007908366510014697,0.13040597534243958
foreign_other_equity,20,0.07591736289995521,-0.006250562775272139,0.1293239298746678
foreign_other_equity,21,0.07585337455703844,-0.003677670050705295,0.12718659264663512
foreign_other_equity,22,0.07583804080629863,-0.0031910148705939223,0.12475713844693903
foreign_other_equity,23,0.07597611730023823,-0.0018460962870420206,0.1245584260805701
foreign_other_equity,24,0.07611957369530309,-0.0008852382044344242,0.12365442082039824
foreign_other_equity,25,0.07614976353352754,0.0004283309313359851,0.12229268529405801
